lat,lon,timestamp,userid
-24.980792492,31.484633302,2015-07-07 03:02,66487960
-25.499224667,31.508905612,2015-07-07 03:18,65281761
-24.342578456,30.930866066,2015-03-07 03:38,90916112
-24.85461393,31.519718439,2015-10-07 05:04,37959089
-24.921068894,31.520835558,2015-10-07 05:19,27793716
-24.047833333,31.687,2015-05-07 05:55,88751696
-24.044,31.687,2015-03-07 05:57,88751696
-25.498371054,30.983844086,2015-09-07 06:21,52431146
-24.342279492,30.990728478,2015-07-07 07:15,11505530
-25.4133857,31.15993,2015-11-07 07:17,24990235
-24.517679856,31.162063846,2015-09-07 07:22,39790157
-25.469772,30.956835,2015-05-07 07:24,39646946
-25.470622005,30.993112586,2015-12-07 07:27,54372438
-25.470622005,30.993112586,2015-12-07 07:27,54372438
-25.470520221,30.979194604,2015-08-07 07:38,2518415
-25.1820724,31.1129338,2015-05-07 07:55,28143688
-24.384113333,31.046408333,2015-03-07 08:08,68184135
-23.93744078,31.027850127,2015-12-07 08:38,61978646
-25.498773123,31.173228461,2015-04-07 08:47,98277872
-25.437893684,31.960250544,2015-11-07 09:02,19151287
-25.289636687,31.055168871,2015-01-07 09:08,34680030
-25.437893684,31.960250544,2015-08-07 09:09,19151287
-23.521025,31.395103333,2015-06-07 09:15,37106688
-24.859702,31.401843936,2015-03-07 09:23,27793716
-25.492771687,30.971140685,2015-03-07 09:44,34589050
-23.949789643,31.151077516,2015-01-07 09:49,94490818
-25.45654532,30.998738783,2015-12-07 10:07,36870228
-25.49381657,30.98583063,2015-09-07 10:14,4770267
-25.488666667,31.017166667,2015-08-07 10:39,86295905
-25.507035402,30.982461923,2015-05-07 10:54,17095038
-24.454687868,31.08299567,2015-12-07 11:18,29873621
-25.155498429,31.19809118,2015-06-07 12:10,68238291
-24.384164,31.046504974,2015-09-07 12:15,27316769
-25.493377992,30.975463903,2015-11-07 12:26,85154412
-25.441666667,30.986666667,2015-09-07 12:58,72916764
-24.786132156,31.428991822,2015-11-07 13:05,23206314
-24.769166667,31.3995,2015-09-07 13:23,37951583
-25.397216147,31.918231789,2015-08-07 13:25,65281761
-25.299124788,31.011792747,2015-03-07 13:28,56721207
-25.358590199,31.892833999,2015-10-07 13:36,65281761
-25.374755761,31.859643974,2015-05-07 13:46,19151287
-25.376806861,31.859466074,2015-06-07 14:11,19151287
-25.472563333,30.96842,2015-09-07 14:35,85154412
-24.246161776,30.922666619,2015-06-07 15:20,54257706
-24.517679856,31.162063846,2015-07-07 15:36,92979582
-25.49381657,30.98583063,2015-12-07 15:39,23983844
-24.27979237,31.23516823,2015-07-07 15:42,57307412
-25.502496832,31.002713889,2015-06-07 15:47,61245440
-24.517679856,31.162063846,2015-11-07 15:55,92979582
-24.158333333,31.384166667,2015-06-07 15:57,37241140
-23.933524562,31.145813542,2015-11-07 15:58,18740363
-25.505609116,30.980883121,2015-12-07 16:15,6412149
-25.469908557,30.995129691,2015-03-07 16:20,54372438
-25.46990856,30.99512971,2015-09-07 16:20,54372438
-25.295063333,31.010991667,2015-03-07 16:40,56721207
-25.485719875,30.982660776,2015-11-07 16:42,41418953
-24.279791667,31.23517,2015-06-07 16:55,57307412
-25.327245712,31.006542206,2015-04-07 16:57,16973259
-25.352275,31.887111667,2015-06-07 17:33,64646148
-25.344400983,31.007739141,2015-08-07 17:38,36749553
-25.48657394,30.984482998,2015-06-07 17:44,41418953
-24.266333333,31.308166667,2015-09-07 17:48,23787087
-25.409650812,30.974378876,2015-03-07 18:45,30168141
-23.934013333,31.024436167,2015-11-07 18:59,61978646
-24.451338607,31.016058656,2015-10-07 19:01,4315623
-24.475797502,31.013769973,2015-12-07 19:04,16145197
-24.785702549,31.401063354,2015-02-08 00:13,27793716
